DATE,MODEL,IDENT,RTE,DURATION,NIGHT,XTY,SIC,PIC,REMARKS
4/1/2018,DC-9,N4YD,OKC-DFW,0.9,,0.9,0.9,,
4/5/2018,DC-9,N4XC,DFW-MSY,1.3,,1.3,1.3,,
4/5/2018,DC-9,N4XC,MSY-DFW,1.6,,1.6,1.6,,
4/5/2018,DC-9,N4XC,DFW-IND,1.9,,1.9,1.9,,
4/6/2018,DC-9,N4YC,IND-DFW,3.2,,3.2,3.2,,
4/6/2018,DC-9,N4XH,DFW-DSM,2.1,,2.1,2.1,,
4/7/2018,DC-9,N501,DSM-DFW,1.6,,1.6,1.6,,
4/7/2018,DC-9,N4XR,DFW-DTW,2.5,,2.5,2.5,,
4/8/2018,DC-9,N4XL,DFW-DTW,2.3,,2.3,2.3,,
4/8/2018,DC-9,N4XL,DTW-DFW,2.8,,2.8,2.8,,
4/20/2018,DC-9,N4XJ,DFW-BNA,1.8,,1.8,1.8,,
4/20/2018,DC-9,N4XJ,BNA-DFW,1.8,,1.8,1.8,,
4/20/2018,DC-9,N4XJ,DFW-TPA,2.2,,2.2,2.2,,
4/21/2018,DC-9,N4XS,TPA-DFW,2.7,,2.7,2.7,,
4/21/2018,DC-9,N590,DFW-RDU,2.7,,2.7,2.7,,
4/22/2018,DC-9,N4XB,RDU-DFW,2.9,,2.9,2.9,,
4/22/2018,DC-9,N4XT,DFW-DFW,0.4,,0.4,0.4,,
4/22/2018,DC-9,N4XT,DFW-RDU,2.6,,2.6,2.6,,
4/23/2018,DC-9,N4XD,RDU-DFW,3.1,,3.1,3.1,,
4/29/2018,DC-9,N4XY,DFW-MCI,1.5,,1.5,1.5,,
4/29/2018,DC-9,N4XY,MCI-DFW,1.6,,1.6,1.6,,
4/29/2018,DC-9,N425,DFW-IND,2.2,,2.2,2.2,,
4/30/2018,DC-9,N4XJ,IND-DFW,2.5,,2.5,2.5,,
4/30/2018,DC-9,N4YT,DFW-MKE,2.4,,2.4,2.4,,
5/1/2018,DC-9,N501,DFW-CLE,2.9,,2.9,2.9,,
5/2/2018,DC-9,N426,CLE-DFW,2.9,,2.9,2.9,,
5/2/2018,DC-9,N4YC,DFW-OMA,1.7,,1.7,1.7,,
5/2/2018,DC-9,N4YC,OMA-DFW,2.0,,2.0,2.0,,
5/13/2018,DC-9,N4XV,DFW-BNA,1.9,,1.9,1.9,,
5/13/2018,DC-9,N4XV,BNA-DFW,1.8,,1.8,1.8,,
5/13/2018,DC-9,N4XH,DFW-PNS,1.6,,1.6,1.6,,
5/14/2018,DC-9,N4XK,PNS-DFW,2.0,,2.0,2.0,,
5/14/2018,DC-9,N4YU,DFW-ORF,2.7,,2.7,2.7,,
5/15/2018,DC-9,N4YU,ORF-DFW,3.1,,3.1,3.1,,
5/15/2018,DC-9,N4YD,DFW-RDU,3.1,,3.1,3.1,,
5/16/2018,DC-9,N4XW,RDU-DFW,2.7,,2.7,2.7,,
5/19/2018,DC-9,N4YR,DFW-TUL,0.9,,0.9,0.9,,
5/19/2018,DC-9,N4YR,TUL-DFW,1.0,,1.0,1.0,,
5/19/2018,DC-9,N4XG,DFW-ORF,2.9,,2.9,2.9,,
